origin_lga,dest_lga,hour_of_day,day_type,peak_period,n_trips,origin_suburb,origin_tourism_region,origin_centroid_lat,origin_centroid_lon,dest_suburb,dest_tourism_region,dest_centroid_lat,dest_centroid_lon
Greater Geelong,Casey,15,Weekday,Off_Peak,152,Barwon Heads,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Clyde (Vic.),Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,15,Weekend,Off_Peak,66,Armstrong Creek (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Cranbourne East,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,16,Weekend,PM_Peak,41,Anakie,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Narre Warren,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,16,Weekday,PM_Peak,184,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Clyde (Vic.),Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,17,Weekday,PM_Peak,295,Portarlington,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Cranbourne,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,17,Weekend,PM_Peak,38,Belmont (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Cranbourne,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,18,Weekday,PM_Peak,403,Little River (Vic.),Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,18,Weekend,PM_Peak,75,Bell Park,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Doveton,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,19,Weekend,Off_Peak,84,Geelong West,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
Greater Geelong,Casey,19,Weekday,Off_Peak,423,Norlane,Geelong and the Bellarine,-38.15019675302578,144.38958580418054,Berwick,Melbourne,-38.06111031151929,145.30117652760546
